2
AGL Experiment
2/23/2017	4:26:56 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
CFG SSC	2	2	CFG SSC	1	CFG String Training, 24	25	CFG String Training (24, BCADDABA)	25	44486		2						BCADDABA	E	15815	
CFG SSC	2	2	CFG SSC	1	CFG String Training, 24	25	CFG String Training (24, BCADDABA)	25	46936		2						BCADDABA	E	18415	
CFG SSC	2	2	CFG SSC	1	CFG String Training, 24	25	CFG String Training (24, BCADDABA)	25	61238		3						BCADDABA	E	24727	
CFG SSC	2	2	CFG SSC	1	CFG String Training, 24	25	CFG String Training (24, BCADDABA)	25	67616		1						BCADDABA	E	39055	
CFG SSC	2	2	CFG SSC	1	CFG String Training, 24	25	CFG String Training (24, BCADDABA)	25	92557	BCADDABA	BCADDABA						BCADDABA	SC	61583	
CFG SSC	2	2	CFG SSC	1	CFG String Training, 2	3	CFG String Training (2, ABDAA)	3	95445	ABDAA	ABDAA						ABDAA	C	1293	
CFG SSC	2	2	CFG SSC	1	CFG String Training, 3	4	CFG String Training (3, CDABA)	4	98309	CDABA	CDABA						CDABA	C	1602	
CFG SSC	2	2	CFG SSC	1	CFG String Training, 7	8	CFG String Training (7, ACBDAB)	8	101189	ACBDAB	ACBDAB						ACBDAB	C	823	
CFG SSC	2	2	CFG SSC	1	CFG String Training, 8	9	CFG String Training (8, ADADAB)	9	104101	ADADAB	ADADAB						ADADAB	C	724	
CFG SSC	2	2	CFG SSC	1	CFG String Training, 11	12	CFG String Training (11, CCCBCB)	12	106749	CCCBCB	CCCBCB						CCCBCB	C	1023	
CFG SSC	2	2	CFG SSC	1	CFG String Training, 18	19	CFG String Training (18, ADCAAAB)	19	110349	ADCAAAB	ADCAAAB						ADCAAAB	C	958	
CFG SSC	2	2	CFG SSC	1	CFG String Training, 22	23	CFG String Training (22, ABDCCABA)	23	114485		ADBCCABA						ABDCCABA	E	1110	
CFG SSC	2	2	CFG SSC	1	CFG String Training, 22	23	CFG String Training (22, ABDCCABA)	23	119837	ABDCCABA	ABDCCABA						ABDCCABA	SC	5733	
CFG SSC	2	2	CFG SSC	1	CFG String Training, 4	5	CFG String Training (4, DDACB)	5	123285	DDACB	DDACB						DDACB	C	994	
CFG SSC	2	2	CFG SSC	1	CFG String Training, 9	10	CFG String Training (9, DCCBDA)	10	127389	DCCBDA	DCCBDA						DCCBDA	C	1439	
CFG SSC	2	2	CFG SSC	1	CFG String Training, 13	14	CFG String Training (13, BBDCDAB)	14	130909	BBDCDAB	BBDCDAB						BBDCDAB	C	1011	
CFG SSC	2	2	CFG SSC	1	CFG String Training, 12	13	CFG String Training (12, CBBDBA)	13	134197	CBBDBA	CBBDBA						CBBDBA	C	998	
CFG SSC	2	2	CFG SSC	1	CFG String Training, 20	21	CFG String Training (20, CADDACBB)	21	138061	CADDACBB	CADDACBB						CADDACBB	C	1011	
CFG SSC	2	2	CFG SSC	1	CFG String Training, 14	15	CFG String Training (14, ABCCBBA)	15	142413	ABCCBBA	ABCCBBA						ABCCBBA	C	808	
CFG SSC	2	2	CFG SSC	1	CFG String Training, 6	7	CFG String Training (6, BDACD)	7	145093	BDACD	BDACD						BDACD	C	1386	
CFG SSC	2	2	CFG SSC	1	CFG String Training, 23	24	CFG String Training (23, DCDABDBB)	24	149765	DCDABDBB	DCDABDBB						DCDABDBB	C	895	
CFG SSC	2	2	CFG SSC	1	CFG String Training, 5	6	CFG String Training (5, ACADD)	6	152605	ACADD	ACADD						ACADD	C	797	
CFG SSC	2	2	CFG SSC	1	CFG String Training, 19	20	CFG String Training (19, ABADCABB)	20	156828	ABADCABB	ABADCABB						ABADCABB	C	827	
CFG SSC	2	2	CFG SSC	1	CFG String Training, 15	16	CFG String Training (15, AADCCBB)	16	161404	AADCCBB	AADCCBB						AADCCBB	C	1858	
