3
AGL Experiment
2/23/2017	3:11:45 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
CFG SCS	3	3	CFG SCS	1	CFG String Training, 19	20	CFG String Training (19, ABADCABB)	20	32979	ABADCABB	ABADCABB						ABADCABB	C	3736	
CFG SCS	3	3	CFG SCS	1	CFG String Training, 14	15	CFG String Training (14, ABCCBBA)	15	36779	ABCCBBA	ABCCBBA						ABCCBBA	C	688	
CFG SCS	3	3	CFG SCS	1	CFG String Training, 15	16	CFG String Training (15, AADCCBB)	16	40235	AADCCBB	AADCCBB						AADCCBB	C	560	
CFG SCS	3	3	CFG SCS	1	CFG String Training, 16	17	CFG String Training (16, DCDDABA)	17	43403	DCDDABA	DCDDABA						DCDDABA	C	638	
CFG SCS	3	3	CFG SCS	1	CFG String Training, 23	24	CFG String Training (23, DCDABDBB)	24	47291	DCDABDBB	DCDABDBB						DCDABDBB	C	535	
CFG SCS	3	3	CFG SCS	1	CFG String Training, 10	11	CFG String Training (10, BACAAB)	11	49883	BACAAB	BACAAB						BACAAB	C	835	
CFG SCS	3	3	CFG SCS	1	CFG String Training, 11	12	CFG String Training (11, CCCBCB)	12	52491	CCCBCB	CCCBCB						CCCBCB	C	676	
CFG SCS	3	3	CFG SCS	1	CFG String Training, 17	18	CFG String Training (17, DCAADBB)	18	59595	DCAADBB	DCAADBB						DCAADBB	C	739	
CFG SCS	3	3	CFG SCS	1	CFG String Training, 12	13	CFG String Training (12, CBBDBA)	13	65139	CBBDBA	CBBDBA						CBBDBA	C	703	
CFG SCS	3	3	CFG SCS	1	CFG String Training, 3	4	CFG String Training (3, CDABA)	4	68602	CDABA	CDABA						CDABA	C	1627	
CFG SCS	3	3	CFG SCS	1	CFG String Training, 20	21	CFG String Training (20, CADDACBB)	21	73978	CADDACBB	CADDACBB						CADDACBB	C	888	
CFG SCS	3	3	CFG SCS	1	CFG String Training, 2	3	CFG String Training (2, ABDAA)	3	77730	ABDAA	ABDAA						ABDAA	C	568	
CFG SCS	3	3	CFG SCS	1	CFG String Training, 18	19	CFG String Training (18, ADCAAAB)	19	81450	ADCAAAB	ADCAAAB						ADCAAAB	C	506	
CFG SCS	3	3	CFG SCS	1	CFG String Training, 5	6	CFG String Training (5, ACADD)	6	83458	ACADD	ACADD						ACADD	C	518	
CFG SCS	3	3	CFG SCS	1	CFG String Training, 24	25	CFG String Training (24, BCADDABA)	25	87786	BCADDABA	BCADDABA						BCADDABA	C	1413	
CFG SCS	3	3	CFG SCS	1	CFG String Training, 9	10	CFG String Training (9, DCCBDA)	10	91834	DCCBDA	DCCBDA						DCCBDA	C	600	
CFG SCS	3	3	CFG SCS	1	CFG String Training, 1	2	CFG String Training (1, AACBB)	2	94818	AACBB	AACBB						AACBB	C	535	
CFG SCS	3	3	CFG SCS	1	CFG String Training, 8	9	CFG String Training (8, ADADAB)	9	97690	ADADAB	ADADAB						ADADAB	C	847	
CFG SCS	3	3	CFG SCS	1	CFG String Training, 6	7	CFG String Training (6, BDACD)	7	100594	BDACD	BDACD						BDACD	C	1475	
CFG SCS	3	3	CFG SCS	1	CFG String Training, 22	23	CFG String Training (22, ABDCCABA)	23	104514	ABDCCABA	ABDCCABA						ABDCCABA	C	575	
CFG SCS	3	3	CFG SCS	1	CFG String Training, 21	22	CFG String Training (21, CDAADBBB)	22	108882	CDAADBBB	CDAADBBB						CDAADBBB	C	1442	
CFG SCS	3	3	CFG SCS	1	CFG String Training, 7	8	CFG String Training (7, ACBDAB)	8	112858	ACBDAB	ACBDAB						ACBDAB	C	612	
CFG SCS	3	3	CFG SCS	1	CFG String Training, 4	5	CFG String Training (4, DDACB)	5	114626	DDACB	DDACB						DDACB	C	484	
CFG SCS	3	3	CFG SCS	1	CFG String Training, 13	14	CFG String Training (13, BBDCDAB)	14	118066	BBDCDAB	BBDCDAB						BBDCDAB	C	1014	
CFG SCS	3	3	CFG SCS	1	Middle Instruction	26	Middle Instruction	6	122161	I am sure the current sequence follows the same pattern			Left	Pressed	-233	-110	space	E	4056
CFG SCS	3	3	CFG SCS	1	Middle Instruction	26	Middle Instruction	6	131517	space		 					space	SC	13412
CFG SCS	3	3	CFG SCS	1	Middle Instruction	26	Middle Instruction 	7	160273	I am sure the current sequence follows the same pattern			Left	Pressed	-49	-327	space	E	28735
CFG SCS	3	3	CFG SCS	1	Middle Instruction	26	Middle Instruction 2	27	163285	space		 					space	SC	31747	
CFG SCS	3	3	CFG SCS	1	CFG Color Test, 18	44	CFG Color Test (18, testRGYYG.jpg)	45	169213	2		2					1; 2; 3; 4	C	5908	
CFG SCS	3	3	CFG SCS	1	CFG Color Test, 11	37	CFG Color Test (11, testGRYBRY.jpg)	38	217980	1		1					1; 2; 3; 4	C	48743	
CFG SCS	3	3	CFG SCS	1	CFG Color Test, 1	27	CFG Color Test (1, testBBGRBRYB.jpg)	28	220132	2		2					1; 2; 3; 4	C	2128	
CFG SCS	3	3	CFG SCS	1	CFG Color Test, 13	39	CFG Color Test (13, testRBGRY.jpg)	40	221356	1		1					1; 2; 3; 4	C	1186	
CFG SCS	3	3	CFG SCS	1	CFG Color Test, 17	43	CFG Color Test (17, testRGGBYG.jpg)	44	222836	3		3					1; 2; 3; 4	C	1465	
CFG SCS	3	3	CFG SCS	1	CFG Color Test, 5	31	CFG Color Test (5, testBYBBGGGR.jpg)	32	224012	3		3					1; 2; 3; 4	C	1158	
CFG SCS	3	3	CFG SCS	1	CFG Color Test, 7	33	CFG Color Test (7, testBYYBR.jpg)	34	225100	4		4					1; 2; 3; 4	C	1079	
