8
AGL Experiment
3/22/2017	5:19:49 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
CFG SSC	8	8	CFG SSC	1	CFG String Training, 18	19	CFG String Training (18, ADCAAAB)	19	33303	ADCAAAB	ADCAAAB						ADCAAAB	C	1299	
CFG SSC	8	8	CFG SSC	1	CFG String Training, 22	23	CFG String Training (22, ABDCCABA)	23	37887	ABDCCABA	ABDCCABA						ABDCCABA	C	1071	
CFG SSC	8	8	CFG SSC	1	CFG String Training, 9	10	CFG String Training (9, DCCBDA)	10	39607	DCCBDA	DCCBDA						DCCBDA	C	576	
CFG SSC	8	8	CFG SSC	1	CFG String Training, 8	9	CFG String Training (8, ADADAB)	9	41367	ADADAB	ADADAB						ADADAB	C	675	
CFG SSC	8	8	CFG SSC	1	CFG String Training, 17	18	CFG String Training (17, DCAADBB)	18	43727	DCAADBB	DCAADBB						DCAADBB	C	693	
CFG SSC	8	8	CFG SSC	1	CFG String Training, 20	21	CFG String Training (20, CADDACBB)	21	46007	CADDACBB	CADDACBB						CADDACBB	C	687	
CFG SSC	8	8	CFG SSC	1	CFG String Training, 11	12	CFG String Training (11, CCCBCB)	12	47671	CCCBCB	CCCBCB						CCCBCB	C	660	
CFG SSC	8	8	CFG SSC	1	CFG String Training, 4	5	CFG String Training (4, DDACB)	5	49023	DDACB	DDACB						DDACB	C	601	
CFG SSC	8	8	CFG SSC	1	CFG String Training, 7	8	CFG String Training (7, ACBDAB)	8	50919	ACBDAB	ACBDAB						ACBDAB	C	635	
CFG SSC	8	8	CFG SSC	1	CFG String Training, 1	2	CFG String Training (1, AACBB)	2	53183	AACBB	AACBB						AACBB	C	575	
