1
AGL Experiment
11/18/2016	3:40:17 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
CFG SSC	1	1	CFG SSC	1	CFG String Training, 14	15	CFG String Training (14, ABCCBBA)	15	40289	ABCCBBA	ABCCBBA						ABCCBBA	C	5467	
CFG SSC	1	1	CFG SSC	1	CFG String Training, 24	25	CFG String Training (24, BCADDABA)	25	50529	BCADDABA	BCADDABA						BCADDABA	C	2799	
CFG SSC	1	1	CFG SSC	1	CFG String Training, 10	11	CFG String Training (10, BACAAB)	11	58021	BACAAB	BACAAB						BACAAB	C	2677	
CFG SSC	1	1	CFG SSC	1	CFG String Training, 7	8	CFG String Training (7, ACBDAB)	8	67521	ACBDAB	ACBDAB						ACBDAB	C	2865	
CFG SSC	1	1	CFG SSC	1	CFG String Training, 8	9	CFG String Training (8, ADADAB)	9	77017	ADADAB	ADADAB						ADADAB	C	3589	
CFG SSC	1	1	CFG SSC	1	CFG String Training, 15	16	CFG String Training (15, AADCCBB)	16	85565	AADCCBB	AADCCBB						AADCCBB	C	2073	
CFG SSC	1	1	CFG SSC	1	CFG String Training, 11	12	CFG String Training (11, CCCBCB)	12	91309	CCCBCB	CCCBCB						CCCBCB	C	1371	
CFG SSC	1	1	CFG SSC	1	CFG String Training, 13	14	CFG String Training (13, BBDCDAB)	14	102517	BBDCDAB	BBDCDAB						BBDCDAB	C	2861	
CFG SSC	1	1	CFG SSC	1	CFG String Training, 23	24	CFG String Training (23, DCDABDBB)	24	113524	DCDABDBB	DCDABDBB						DCDABDBB	C	2077	
CFG SSC	1	1	CFG SSC	1	CFG String Training, 3	4	CFG String Training (3, CDABA)	4	118924	CDABA	CDABA						CDABA	C	1621	
CFG SSC	1	1	CFG SSC	1	CFG String Training, 19	20	CFG String Training (19, ABADCABB)	20	129300	ABADCABB	ABADCABB						ABADCABB	C	1581	
CFG SSC	1	1	CFG SSC	1	CFG String Training, 16	17	CFG String Training (16, DCDDABA)	17	137196	DCDDABA	DCDDABA						DCDDABA	C	2174	
CFG SSC	1	1	CFG SSC	1	CFG String Training, 2	3	CFG String Training (2, ABDAA)	3	143252	ABDAA	ABDAA						ABDAA	C	1842	
CFG SSC	1	1	CFG SSC	1	CFG String Training, 21	22	CFG String Training (21, CDAADBBB)	22	152700	CDAADBBB	CDAADBBB						CDAADBBB	C	2208	
CFG SSC	1	1	CFG SSC	1	CFG String Training, 4	5	CFG String Training (4, DDACB)	5	158060	DDACB	DDACB						DDACB	C	1589	
CFG SSC	1	1	CFG SSC	1	CFG String Training, 18	19	CFG String Training (18, ADCAAAB)	19	165908	ADCAAAB	ADCAAAB						ADCAAAB	C	2055	
CFG SSC	1	1	CFG SSC	1	CFG String Training, 5	6	CFG String Training (5, ACADD)	6	171092	ACADD	ACADD						ACADD	C	1717	
CFG SSC	1	1	CFG SSC	1	CFG String Training, 12	13	CFG String Training (12, CBBDBA)	13	181236	CBBDBA	CBBDBA						CBBDBA	C	1935	
CFG SSC	1	1	CFG SSC	1	CFG String Training, 17	18	CFG String Training (17, DCAADBB)	18	188196	DCAADBB	DCAADBB						DCAADBB	C	1872	
