3
AGL Experiment
2/23/2017	3:00:49 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
RE SSC	3	3	RE SSC	1	RE String Training, 11	12	RE String Training (11, CBBAAD)	12	46641	CBBAAD	CBBAAD						CBBAAD	C	2203	
RE SSC	3	3	RE SSC	1	RE String Training, 2	3	RE String Training (2, CABAD)	3	49121	CABAD	CABAD						CABAD	C	1163	
RE SSC	3	3	RE SSC	1	RE String Training, 4	5	RE String Training (4, ADBDD)	5	52513	ADBDD	ADBDD						ADBDD	C	1311	
RE SSC	3	3	RE SSC	1	RE String Training, 10	11	RE String Training (10, DDBDAD)	11	55969	DDBDAD	DDBDAD						DDBDAD	C	671	
RE SSC	3	3	RE SSC	1	RE String Training, 24	25	RE String Training (24, CAABABBD)	25	61481	CAABABBD	CAABABBD						CAABABBD	C	1262	
RE SSC	3	3	RE SSC	1	RE String Training, 15	16	RE String Training (15, ADBDBAD)	16	69729	ADBDBAD	ADBDBAD						ADBDBAD	C	680	
RE SSC	3	3	RE SSC	1	RE String Training, 17	18	RE String Training (17, ACAAABD)	18	73625	ACAAABD	ACAAABD						ACAAABD	C	1030	
RE SSC	3	3	RE SSC	1	RE String Training, 5	6	RE String Training (5, DADBA)	6	78401	DADBA	DADBA						DADBA	C	1755	
RE SSC	3	3	RE SSC	1	RE String Training, 22	23	RE String Training (22, BDAAAAAD)	23	85024	BDAAAAAD	BDAAAAAD						BDAAAAAD	C	2548	
RE SSC	3	3	RE SSC	1	RE String Training, 12	13	RE String Training (12, CABABD)	13	88289	CABABD	CABABD						CABABD	C	1051	
RE SSC	3	3	RE SSC	1	RE String Training, 16	17	RE String Training (16, DDBDBAD)	17	92121	DDBDBAD	DDBDBAD						DDBDBAD	C	681	
RE SSC	3	3	RE SSC	1	RE String Training, 19	20	RE String Training (19, DAAADDBA)	20	96064		BAAADDBA						DAAADDBA	E	991	
RE SSC	3	3	RE SSC	1	RE String Training, 19	20	RE String Training (19, DAAADDBA)	20	100352	DAAADDBA	DAAADDBA						DAAADDBA	SC	5287	
RE SSC	3	3	RE SSC	1	RE String Training, 3	4	RE String Training (3, CBBBD)	4	103704	CBBBD	CBBBD						CBBBD	C	1318	
RE SSC	3	3	RE SSC	1	RE String Training, 23	24	RE String Training (23, ADDBDBAD)	24	108392	ADDBDBAD	ADDBDBAD						ADDBDBAD	C	1000	
RE SSC	3	3	RE SSC	1	RE String Training, 1	2	RE String Training (1, AADBA)	2	110408	AADBA	AADBA						AADBA	C	557	
RE SSC	3	3	RE SSC	1	RE String Training, 6	7	RE String Training (6, BDABD)	7	114440	BDABD	BDABD						BDABD	C	948	
RE SSC	3	3	RE SSC	1	RE String Training, 7	8	RE String Training (7, ABDAAD)	8	121152	ABDAAD	ABDAAD						ABDAAD	C	835	
RE SSC	3	3	RE SSC	1	RE String Training, 14	15	RE String Training (14, BDBAAAD)	15	127488	BDBAAAD	BDBAAAD						BDBAAAD	C	1030	
RE SSC	3	3	RE SSC	1	RE String Training, 8	9	RE String Training (8, ADDDBA)	9	130360	ADDDBA	ADDDBA						ADDDBA	C	761	
RE SSC	3	3	RE SSC	1	RE String Training, 13	14	RE String Training (13, CAABBAD)	14	134872	CAABBAD	CAABBAD						CAABBAD	C	1183	
RE SSC	3	3	RE SSC	1	RE String Training, 18	19	RE String Training (18, DCBBBAD)	19	139184	DCBBBAD	DCBBBAD						DCBBBAD	C	1001	
RE SSC	3	3	RE SSC	1	RE String Training, 9	10	RE String Training (9, DBDBBD)	10	148512	DBDBBD	DBDBBD						DBDBBD	C	1268	
RE SSC	3	3	RE SSC	1	RE String Training, 21	22	RE String Training (21, DDBDAAAD)	22	153552	DDBDAAAD	DDBDAAAD						DDBDAAAD	C	1215	
RE SSC	3	3	RE SSC	1	RE String Training, 20	21	RE String Training (20, DDDAAABA)	21	157608	DDDAAABA	DDDAAABA						DDDAAABA	C	1166	
RE SSC	3	3	RE SSC	1	RE String Training1, 13	38	RE String Training (13, CAABBAD)	14	162712	CAABBAD	CAABBAD						CAABBAD	C	908	
RE SSC	3	3	RE SSC	1	RE String Training1, 1	26	RE String Training (1, AADBA)	2	166648	AADBA	AADBA						AADBA	C	631	
RE SSC	3	3	RE SSC	1	RE String Training1, 20	45	RE String Training (20, DDDAAABA)	21	171064	DDDAAABA	DDDAAABA						DDDAAABA	C	602	
RE SSC	3	3	RE SSC	1	RE String Training1, 12	37	RE String Training (12, CABABD)	13	174959	CABABD	CABABD						CABABD	C	1177	
RE SSC	3	3	RE SSC	1	RE String Training1, 9	34	RE String Training (9, DBDBBD)	10	178951	DBDBBD	DBDBBD						DBDBBD	C	927	
RE SSC	3	3	RE SSC	1	RE String Training1, 18	43	RE String Training (18, DCBBBAD)	19	182335	DCBBBAD	DCBBBAD						DCBBBAD	C	998	
RE SSC	3	3	RE SSC	1	RE String Training1, 19	44	RE String Training (19, DAAADDBA)	20	186999	DAAADDBA	DAAADDBA						DAAADDBA	C	1223	
RE SSC	3	3	RE SSC	1	RE String Training1, 11	36	RE String Training (11, CBBAAD)	12	191343	CBBAAD	CBBAAD						CBBAAD	C	1228	
RE SSC	3	3	RE SSC	1	RE String Training1, 14	39	RE String Training (14, BDBAAAD)	15	196695	BDBAAAD	BDBAAAD						BDBAAAD	C	1135	
RE SSC	3	3	RE SSC	1	RE String Training1, 23	48	RE String Training (23, ADDBDBAD)	24	201903	ADDBDBAD	ADDBDBAD						ADDBDBAD	C	568	
RE SSC	3	3	RE SSC	1	RE String Training1, 10	35	RE String Training (10, DDBDAD)	11	205239	DDBDAD	DDBDAD						DDBDAD	C	1120	
RE SSC	3	3	RE SSC	1	RE String Training1, 22	47	RE String Training (22, BDAAAAAD)	23	209831	BDAAAAAD	BDAAAAAD						BDAAAAAD	C	1011	
RE SSC	3	3	RE SSC	1	RE String Training1, 8	33	RE String Training (8, ADDDBA)	9	212471	ADDDBA	ADDDBA						ADDDBA	C	555	
RE SSC	3	3	RE SSC	1	RE String Training1, 15	40	RE String Training (15, ADBDBAD)	16	218239	ADBDBAD	ADBDBAD						ADBDBAD	C	513	
RE SSC	3	3	RE SSC	1	RE String Training1, 2	27	RE String Training (2, CABAD)	3	221255	CABAD	CABAD						CABAD	C	1354	
RE SSC	3	3	RE SSC	1	RE String Training1, 17	42	RE String Training (17, ACAAABD)	18	227255	ACAAABD	ACAAABD						ACAAABD	C	610	
RE SSC	3	3	RE SSC	1	RE String Training1, 4	29	RE String Training (4, ADBDD)	5	230775	ADBDD	ADBDD						ADBDD	C	546	
RE SSC	3	3	RE SSC	1	RE String Training1, 24	49	RE String Training (24, CAABABBD)	25	238263	CAABABBD	CAABABBD						CAABABBD	C	901	
RE SSC	3	3	RE SSC	1	RE String Training1, 5	30	RE String Training (5, DADBA)	6	243311	DADBA	DADBA						DADBA	C	705	
RE SSC	3	3	RE SSC	1	RE String Training1, 6	31	RE String Training (6, BDABD)	7	247567	BDABD	BDABD						BDABD	C	999	
