3
AGL Experiment
2/23/2017	1:33:55 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
RE SCS	3	3	RE SCS	1	RE String Training, 20	21	RE String Training (20, DDDAAABA)	21	38205	DDDAAABA	DDDAAABA						DDDAAABA	C	5855	
RE SCS	3	3	RE SCS	1	RE String Training, 7	8	RE String Training (7, ABDAAD)	8	41573	ABDAAD	ABDAAD						ABDAAD	C	1352	
RE SCS	3	3	RE SCS	1	RE String Training, 10	11	RE String Training (10, DDBDAD)	11	46429	DDBDAD	DDBDAD						DDBDAD	C	1553	
RE SCS	3	3	RE SCS	1	RE String Training, 2	3	RE String Training (2, CABAD)	3	50757	CABAD	CABAD						CABAD	C	3191	
RE SCS	3	3	RE SCS	1	RE String Training, 24	25	RE String Training (24, CAABABBD)	25	56693	CAABABBD	CAABABBD						CAABABBD	C	1674	
RE SCS	3	3	RE SCS	1	RE String Training, 16	17	RE String Training (16, DDBDBAD)	17	60829	DDBDBAD	DDBDBAD						DDBDBAD	C	1093	
RE SCS	3	3	RE SCS	1	RE String Training, 15	16	RE String Training (15, ADBDBAD)	16	67813	ADBDBAD	ADBDBAD						ADBDBAD	C	1631	
RE SCS	3	3	RE SCS	1	RE String Training, 19	20	RE String Training (19, DAAADDBA)	20	71636	DAAADDBA	DAAADDBA						DAAADDBA	C	1167	
RE SCS	3	3	RE SCS	1	RE String Training, 11	12	RE String Training (11, CBBAAD)	12	87044	CBBAAD	CBBAAD						CBBAAD	C	1535	
RE SCS	3	3	RE SCS	1	RE String Training, 18	19	RE String Training (18, DCBBBAD)	19	93164	DCBBBAD	DCBBBAD						DCBBBAD	C	1400	
RE SCS	3	3	RE SCS	1	RE String Training, 12	13	RE String Training (12, CABABD)	13	96924	CABABD	CABABD						CABABD	C	1394	
RE SCS	3	3	RE SCS	1	RE String Training, 14	15	RE String Training (14, BDBAAAD)	15	101044	BDBAAAD	BDBAAAD						BDBAAAD	C	1684	
RE SCS	3	3	RE SCS	1	RE String Training, 13	14	RE String Training (13, CAABBAD)	14	104596	CAABBAD	CAABBAD						CAABBAD	C	1048	
RE SCS	3	3	RE SCS	1	RE String Training, 4	5	RE String Training (4, ADBDD)	5	107292	ADBDD	ADBDD						ADBDD	C	833	
RE SCS	3	3	RE SCS	1	RE String Training, 22	23	RE String Training (22, BDAAAAAD)	23	111996	BDAAAAAD	BDAAAAAd						BDAAAAAD	C	1397	
RE SCS	3	3	RE SCS	1	RE String Training, 3	4	RE String Training (3, CBBBD)	4	114860	CBBBD	CBBBD						CBBBD	C	1249	
RE SCS	3	3	RE SCS	1	RE String Training, 8	9	RE String Training (8, ADDDBA)	9	117916	ADDDBA	ADDDBA						ADDDBA	C	718	
