7
AGL Experiment
2/24/2017	2:22:34 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
RE SCS	7	7	RE SCS	1	RE String Training, 9	10	RE String Training (9, DBDBBD)	10	86654	DBDBBD	dbdbbd						DBDBBD	C	7898	
RE SCS	7	7	RE SCS	1	RE String Training, 19	20	RE String Training (19, DAAADDBA)	20	93566	DAAADDBA	daaaddba						DAAADDBA	C	1647	
RE SCS	7	7	RE SCS	1	RE String Training, 10	11	RE String Training (10, DDBDAD)	11	98126	DDBDAD	ddbdad						DDBDAD	C	1427	
RE SCS	7	7	RE SCS	1	RE String Training, 8	9	RE String Training (8, ADDDBA)	9	102422	ADDDBA	adddba						ADDDBA	C	1044	
RE SCS	7	7	RE SCS	1	RE String Training, 11	12	RE String Training (11, CBBAAD)	12	106358	CBBAAD	cbbaad						CBBAAD	C	1625	
RE SCS	7	7	RE SCS	1	RE String Training, 24	25	RE String Training (24, CAABABBD)	25	111477	CAABABBD	caababbd						CAABABBD	C	1123	
RE SCS	7	7	RE SCS	1	RE String Training, 3	4	RE String Training (3, CBBBD)	4	115109	CBBBD	cbbbd						CBBBD	C	1967	
RE SCS	7	7	RE SCS	1	RE String Training, 21	22	RE String Training (21, DDBDAAAD)	22	120013	DDBDAAAD	ddbdaaad						DDBDAAAD	C	1261	
RE SCS	7	7	RE SCS	1	RE String Training, 20	21	RE String Training (20, DDDAAABA)	21	124133	DDDAAABA	dddaaaba						DDDAAABA	C	1273	
RE SCS	7	7	RE SCS	1	RE String Training, 6	7	RE String Training (6, BDABD)	7	128477	BDABD	bdabd						BDABD	C	2029	
RE SCS	7	7	RE SCS	1	RE String Training, 7	8	RE String Training (7, ABDAAD)	8	132941	ABDAAD	abdaad						ABDAAD	C	1375	
RE SCS	7	7	RE SCS	1	RE String Training, 12	13	RE String Training (12, CABABD)	13	137157	CABABD	cababd						CABABD	C	1036	
RE SCS	7	7	RE SCS	1	RE String Training, 5	6	RE String Training (5, DADBA)	6	140765	DADBA	dadba						DADBA	C	1108	
RE SCS	7	7	RE SCS	1	RE String Training, 17	18	RE String Training (17, ACAAABD)	18	147525	ACAAABD	acaaabd						ACAAABD	C	1004	
RE SCS	7	7	RE SCS	1	RE String Training, 18	19	RE String Training (18, DCBBBAD)	19	151797	DCBBBAD	dcbbbad						DCBBBAD	C	1645	
RE SCS	7	7	RE SCS	1	RE String Training, 2	3	RE String Training (2, CABAD)	3	154485	CABAD	cabad						CABAD	C	1018	
RE SCS	7	7	RE SCS	1	RE String Training, 15	16	RE String Training (15, ADBDBAD)	16	158389	ADBDBAD	adbdbad						ADBDBAD	C	631	
RE SCS	7	7	RE SCS	1	RE String Training, 22	23	RE String Training (22, BDAAAAAD)	23	163541	BDAAAAAD	bdaaaaad						BDAAAAAD	C	1577	
RE SCS	7	7	RE SCS	1	RE String Training, 16	17	RE String Training (16, DDBDBAD)	17	169941	DDBDBAD	ddbdbad						DDBDBAD	C	1148	
RE SCS	7	7	RE SCS	1	RE String Training, 1	2	RE String Training (1, AADBA)	2	173653	AADBA	aadba						AADBA	C	1212	
RE SCS	7	7	RE SCS	1	RE String Training, 23	24	RE String Training (23, ADDBDBAD)	24	178781	ADDBDBAD	addbdbad						ADDBDBAD	C	1183	
RE SCS	7	7	RE SCS	1	RE String Training, 14	15	RE String Training (14, BDBAAAD)	15	182189	BDBAAAD	bdbaaad						BDBAAAD	C	1186	
RE SCS	7	7	RE SCS	1	RE String Training, 13	14	RE String Training (13, CAABBAD)	14	187293	CAABBAD	caabbad						CAABBAD	C	1930	
