4
AGL Experiment
2/24/2017	12:58:14 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
RE SSC	4	4	RE SSC	1	RE String Training, 15	16	RE String Training (15, ADBDBAD)	16	26843	ADBDBAD	adbdbad						ADBDBAD	C	2723	
RE SSC	4	4	RE SSC	1	RE String Training, 23	24	RE String Training (23, ADDBDBAD)	24	39243	ADDBDBAD	ADDBDBAD						ADDBDBAD	C	1839	
RE SSC	4	4	RE SSC	1	RE String Training, 13	14	RE String Training (13, CAABBAD)	14	44467	CAABBAD	CAABBAD						CAABBAD	C	1703	
RE SSC	4	4	RE SSC	1	RE String Training, 7	8	RE String Training (7, ABDAAD)	8	51179	ABDAAD	ABDAAD						ABDAAD	C	1591	
RE SSC	4	4	RE SSC	1	RE String Training, 20	21	RE String Training (20, DDDAAABA)	21	55259	DDDAAABA	DDDAAABA						DDDAAABA	C	1082	
RE SSC	4	4	RE SSC	1	RE String Training, 9	10	RE String Training (9, DBDBBD)	10	60251	DBDBBD	DBDBBD						DBDBBD	C	2119	
RE SSC	4	4	RE SSC	1	RE String Training, 18	19	RE String Training (18, DCBBBAD)	19	64955	DCBBBAD	DCBBBAD						DCBBBAD	C	1479	
RE SSC	4	4	RE SSC	1	RE String Training, 16	17	RE String Training (16, DDBDBAD)	17	70707	DDBDBAD	DDBDBAD						DDBDBAD	C	1243	
RE SSC	4	4	RE SSC	1	RE String Training, 1	2	RE String Training (1, AADBA)	2	74900	AADBA	AADBA						AADBA	C	932	
RE SSC	4	4	RE SSC	1	RE String Training, 2	3	RE String Training (2, CABAD)	3	78763	CABAD	CABAD						CABAD	C	1333	
RE SSC	4	4	RE SSC	1	RE String Training, 22	23	RE String Training (22, BDAAAAAD)	23	83187	BDAAAAAD	BDAAAAAD						BDAAAAAD	C	1194	
RE SSC	4	4	RE SSC	1	RE String Training, 10	11	RE String Training (10, DDBDAD)	11	87099	DDBDAD	DDBDAD						DDBDAD	C	1329	
RE SSC	4	4	RE SSC	1	RE String Training, 5	6	RE String Training (5, DADBA)	6	90507	DADBA	DADBA						DADBA	C	1285	
RE SSC	4	4	RE SSC	1	RE String Training, 6	7	RE String Training (6, BDABD)	7	94171	BDABD	BDABD						BDABD	C	1436	
RE SSC	4	4	RE SSC	1	RE String Training, 4	5	RE String Training (4, ADBDD)	5	97371	ADBDD	ADBDD						ADBDD	C	1250	
RE SSC	4	4	RE SSC	1	RE String Training, 24	25	RE String Training (24, CAABABBD)	25	101435	CAABABBD	CAABABBD						CAABABBD	C	1194	
RE SSC	4	4	RE SSC	1	RE String Training, 8	9	RE String Training (8, ADDDBA)	9	104563	ADDDBA	ADDDBA						ADDDBA	C	1103	
RE SSC	4	4	RE SSC	1	RE String Training, 19	20	RE String Training (19, DAAADDBA)	20	109947	DAAADDBA	DAAADDBA						DAAADDBA	C	1394	
RE SSC	4	4	RE SSC	1	RE String Training, 17	18	RE String Training (17, ACAAABD)	18	120763	ACAAABD	ACAAABD						ACAAABD	C	1075	
RE SSC	4	4	RE SSC	1	RE String Training, 21	22	RE String Training (21, DDBDAAAD)	22	126467	DDBDAAAD	DDBDAAAD						DDBDAAAD	C	2442	
RE SSC	4	4	RE SSC	1	RE String Training, 14	15	RE String Training (14, BDBAAAD)	15	131443	BDBAAAD	BDBAAAD						BDBAAAD	C	1558	
RE SSC	4	4	RE SSC	1	RE String Training, 12	13	RE String Training (12, CABABD)	13	135435	CABABD	CABABD						CABABD	C	1511	
RE SSC	4	4	RE SSC	1	RE String Training, 3	4	RE String Training (3, CBBBD)	4	138483	CBBBD	CBBBD						CBBBD	C	1064	
RE SSC	4	4	RE SSC	1	RE String Training, 11	12	RE String Training (11, CBBAAD)	12	142083	CBBAAD	CBBAAD						CBBAAD	C	1214	
RE SSC	4	4	RE SSC	1	RE String Training1, 21	46	RE String Training (21, DDBDAAAD)	22	146971	DDBDAAAD	DDBDAAAD						DDBDAAAD	C	1206	
RE SSC	4	4	RE SSC	1	RE String Training1, 1	26	RE String Training (1, AADBA)	2	150651	AADBA	AADBA						AADBA	C	1315	
RE SSC	4	4	RE SSC	1	RE String Training1, 9	34	RE String Training (9, DBDBBD)	10	154051	DBDBBD	DBDBBD						DBDBBD	C	1615	
RE SSC	4	4	RE SSC	1	RE String Training1, 17	42	RE String Training (17, ACAAABD)	18	157706	ACAAABD	ACAAABD						ACAAABD	C	1287	
RE SSC	4	4	RE SSC	1	RE String Training1, 24	49	RE String Training (24, CAABABBD)	25	162851	CAABABBD	CAABABBD						CAABABBD	C	1180	
RE SSC	4	4	RE SSC	1	RE String Training1, 13	38	RE String Training (13, CAABBAD)	14	167146	CAABBAD	CAABBAD						CAABBAD	C	1095	
RE SSC	4	4	RE SSC	1	RE String Training1, 15	40	RE String Training (15, ADBDBAD)	16	171834	ADBDBAD	ADBDBAD						ADBDBAD	C	1523	
RE SSC	4	4	RE SSC	1	RE String Training1, 4	29	RE String Training (4, ADBDD)	5	176490	ADBDD	ADBDD						ADBDD	C	1368	
RE SSC	4	4	RE SSC	1	RE String Training1, 12	37	RE String Training (12, CABABD)	13	180786	CABABD	CABABD						CABABD	C	1261	
RE SSC	4	4	RE SSC	1	RE String Training1, 22	47	RE String Training (22, BDAAAAAD)	23	186506	BDAAAAAD	BDAAAAAD						BDAAAAAD	C	1178	
RE SSC	4	4	RE SSC	1	RE String Training1, 11	36	RE String Training (11, CBBAAD)	12	190330	CBBAAD	CBBAAD						CBBAAD	C	1437	
RE SSC	4	4	RE SSC	1	RE String Training1, 10	35	RE String Training (10, DDBDAD)	11	194298	DDBDAD	DDBDAD						DDBDAD	C	995	
