SCS 1
AGL Experiment
2/23/2017	12:39:15 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 7	8	RE String Training (7, ABDAAD)	8	22911	ABDAAD	ABDAAD						ABDAAD	C	1916	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 3	4	RE String Training (3, CBBBD)	4	25646	CBBBD	CBBBD						CBBBD	C	1162	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 8	9	RE String Training (8, ADDDBA)	9	27766	ADDDBA	ADDDBA						ADDDBA	C	677	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 11	12	RE String Training (11, CBBAAD)	12	30942	CBBAAD	CBBAAD						CBBAAD	C	1184	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 19	20	RE String Training (19, DAAADDBA)	20	34510	DAAADDBA	DAAADDBA						DAAADDBA	C	809	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 10	11	RE String Training (10, DDBDAD)	11	37431		DDVDAD						DDBDAD	E	1242	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 10	11	RE String Training (10, DDBDAD)	11	40630	DDBDAD	DDBDAD						DDBDAD	SC	3946	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 4	5	RE String Training (4, ADBDD)	5	42990	ADBDD	ADBDD						ADBDD	C	806	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 1	2	RE String Training (1, AADBA)	2	45543	AADBA	AADBA						AADBA	C	727	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 2	3	RE String Training (2, CABAD)	3	47654	CABAD	CABAD						CABAD	C	793	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 24	25	RE String Training (24, CAABABBD)	25	51470	CAABABBD	CAABABBD						CAABABBD	C	725	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 12	13	RE String Training (12, CABABD)	13	54038	CABABD	CABABD						CABABD	C	772	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 16	17	RE String Training (16, DDBDBAD)	17	57350	DDBDBAD	DDBDBAD						DDBDBAD	C	734	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 6	7	RE String Training (6, BDABD)	7	59654	BDABD	BDABD						BDABD	C	905	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 5	6	RE String Training (5, DADBA)	6	61782	DADBA	DADBA						DADBA	C	909	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 17	18	RE String Training (17, ACAAABD)	18	65062	ACAAABD	ACAAABD						ACAAABD	C	696	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 23	24	RE String Training (23, ADDBDBAD)	24	68638	ADDBDBAD	ADDBDBAD						ADDBDBAD	C	708	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 14	15	RE String Training (14, BDBAAAD)	15	71518	BDBAAAD	BDBAAAD						BDBAAAD	C	894	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 15	16	RE String Training (15, ADBDBAD)	16	74710	ADBDBAD	ADBDBAD						ADBDBAD	C	626	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 18	19	RE String Training (18, DCBBBAD)	19	77638	DCBBBAD	DCBBBAD						DCBBBAD	C	891	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 22	23	RE String Training (22, BDAAAAAD)	23	83214	BDAAAAAD	BDAAAAAD						BDAAAAAD	C	822	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 20	21	RE String Training (20, DDDAAABA)	21	86566	DDDAAABA	DDDAAABA						DDDAAABA	C	855	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 9	10	RE String Training (9, DBDBBD)	10	88926	DBDBBD	DBDBBD						DBDBBD	C	712	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 21	22	RE String Training (21, DDBDAAAD)	22	91950	DDBDAAAD	DDBDAAAD						DDBDAAAD	C	785	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training, 13	14	RE String Training (13, CAABBAD)	14	94758	CAABBAD	CAABBAD						CAABBAD	C	736	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 16	41	RE String Training (16, DDBDBAD)	17	97622	DDBDBAD	DDBDBAD						DDBDBAD	C	768	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 1	26	RE String Training (1, AADBA)	2	100062	AADBA	AADBA						AADBA	C	1110	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 4	29	RE String Training (4, ADBDD)	5	102486	ADBDD	ADBDD						ADBDD	C	828	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 24	49	RE String Training (24, CAABABBD)	25	105598	CAABABBD	CAABABBD						CAABABBD	C	739	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 18	43	RE String Training (18, DCBBBAD)	19	108470	DCBBBAD	DCBBBAD						DCBBBAD	C	1214	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 13	38	RE String Training (13, CAABBAD)	14	110958	CAABBAD	CAABBAD						CAABBAD	C	660	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 22	47	RE String Training (22, BDAAAAAD)	23	114414	BDAAAAAD	BDAAAAAD						BDAAAAAD	C	1040	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 2	27	RE String Training (2, CABAD)	3	116374	CABAD	CABAD						CABAD	C	750	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 5	30	RE String Training (5, DADBA)	6	118030	DADBA	DADBA						DADBA	C	615	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 21	46	RE String Training (21, DDBDAAAD)	22	120998	DDBDAAAD	DDBDAAAD						DDBDAAAD	C	661	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 12	37	RE String Training (12, CABABD)	13	123398	CABABD	CABABD						CABABD	C	783	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 14	39	RE String Training (14, BDBAAAD)	15	127534	BDBAAAD	BDBAAAD						BDBAAAD	C	1415	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 17	42	RE String Training (17, ACAAABD)	18	131030	ACAAABD	ACAAABD						ACAAABD	C	849	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 11	36	RE String Training (11, CBBAAD)	12	133718	CBBAAD	CBBAAD						CBBAAD	C	869	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Training1, 6	31	RE String Training (6, BDABD)	7	136797	BDABD	BDABD						BDABD	C	1282	
