2
AGL Experiment
2/23/2017	1:16:11 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 4	5	RE String Training (4, ADBDD)	5	39261	ADBDD	ADBDD						ADBDD	C	3223	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 11	12	RE String Training (11, CBBAAD)	12	42597		CBAAD						CBBAAD	E	1038	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 11	12	RE String Training (11, CBBAAD)	12	48285	CBBAAD	CBBAAD						CBBAAD	SC	5222	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 8	9	RE String Training (8, ADDDBA)	9	50844	ADDDBA	ADDDBA						ADDDBA	C	774	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 16	17	RE String Training (16, DDBDBAD)	17	54349	DDBDBAD	DDBDBAD						DDBDBAD	C	927	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 23	24	RE String Training (23, ADDBDBAD)	24	59324	ADDBDBAD	ADDBDBAD						ADDBDBAD	C	1011	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 13	14	RE String Training (13, CAABBAD)	14	63004	CAABBAD	CAABBAD						CAABBAD	C	1188	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 1	2	RE String Training (1, AADBA)	2	65716	AADBA	AADBA						AADBA	C	673	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 18	19	RE String Training (18, DCBBBAD)	19	70668		DCBBAD						DCBBBAD	E	1957	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 18	19	RE String Training (18, DCBBBAD)	19	74508	DCBBBAD	DCBBBAD						DCBBBAD	SC	6549	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 10	11	RE String Training (10, DDBDAD)	11	79148	DDBDAD	DDBDAD						DDBDAD	C	1245	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 12	13	RE String Training (12, CABABD)	13	82340	CABABD	CABABD						CABABD	C	1108	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 20	21	RE String Training (20, DDDAAABA)	21	86716	DDDAAABA	DDDAAABA						DDDAAABA	C	756	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 3	4	RE String Training (3, CBBBD)	4	89652	CBBBD	CBBBD						CBBBD	C	957	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 17	18	RE String Training (17, ACAAABD)	18	93644	ACAAABD	ACAAABD						ACAAABD	C	663	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 9	10	RE String Training (9, DBDBBD)	10	97268	DBDBBD	DBDBBD						DBDBBD	C	1008	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 5	6	RE String Training (5, DADBA)	6	99388	DADBA	DADBA						DADBA	C	888	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 15	16	RE String Training (15, ADBDBAD)	16	104700	ADBDBAD	ADBDBAD						ADBDBAD	C	898	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 14	15	RE String Training (14, BDBAAAD)	15	110060	BDBAAAD	BDBAAAD						BDBAAAD	C	2302	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 7	8	RE String Training (7, ABDAAD)	8	113020	ABDAAD	ABDAAD						ABDAAD	C	863	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 6	7	RE String Training (6, BDABD)	7	115724	BDABD	BDABD						BDABD	C	825	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 22	23	RE String Training (22, BDAAAAAD)	23	119564	BDAAAAAD	BDAAAAAD						BDAAAAAD	C	860	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 2	3	RE String Training (2, CABAD)	3	122732	CABAD	CABAD						CABAD	C	1434	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 24	25	RE String Training (24, CAABABBD)	25	127796	CAABABBD	CAABABBD						CAABABBD	C	820	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 19	20	RE String Training (19, DAAADDBA)	20	132852	DAAADDBA	DAAADDBA						DAAADDBA	C	745	
RE SCS	2	SCS 2	RE SCS	1	RE String Training, 21	22	RE String Training (21, DDBDAAAD)	22	136068	DDBDAAAD	DDBDAAAD						DDBDAAAD	C	838	
RE SCS	2	SCS 2	RE SCS	1	RE String Training1, 7	32	RE String Training (7, ABDAAD)	8	138748	ABDAAD	ABDAAD						ABDAAD	C	687	
RE SCS	2	SCS 2	RE SCS	1	RE String Training1, 23	48	RE String Training (23, ADDBDBAD)	24	171044	ADDBDBAD	ADDBDBAD						ADDBDBAD	C	571	
RE SCS	2	SCS 2	RE SCS	1	RE String Training1, 21	46	RE String Training (21, DDBDAAAD)	22	176403	DDBDAAAD	DDBDAAAD						DDBDAAAD	C	839	
RE SCS	2	SCS 2	RE SCS	1	RE String Training1, 20	45	RE String Training (20, DDDAAABA)	21	179491	DDDAAABA	DDDAAABA						DDDAAABA	C	713	
RE SCS	2	SCS 2	RE SCS	1	RE String Training1, 8	33	RE String Training (8, ADDDBA)	9	182395	ADDDBA	ADDDBA						ADDDBA	C	670	
RE SCS	2	SCS 2	RE SCS	1	RE String Training1, 1	26	RE String Training (1, AADBA)	2	184883	AADBA	AADBA						AADBA	C	642	
RE SCS	2	SCS 2	RE SCS	1	RE String Training1, 5	30	RE String Training (5, DADBA)	6	187611	DADBA	DADBA						DADBA	C	1263	
RE SCS	2	SCS 2	RE SCS	1	RE String Training1, 22	47	RE String Training (22, BDAAAAAD)	23	191763	BDAAAAAD	BDAAAAAD						BDAAAAAD	C	1017	
RE SCS	2	SCS 2	RE SCS	1	RE String Training1, 2	27	RE String Training (2, CABAD)	3	193683	CABAD	CABAD						CABAD	C	747	
RE SCS	2	SCS 2	RE SCS	1	RE String Training1, 17	42	RE String Training (17, ACAAABD)	18	196635	ACAAABD	ACAAABD						ACAAABD	C	791	
RE SCS	2	SCS 2	RE SCS	1	RE String Training1, 6	31	RE String Training (6, BDABD)	7	201163	BDABD	BDABD						BDABD	C	928	
RE SCS	2	SCS 2	RE SCS	1	RE String Training1, 15	40	RE String Training (15, ADBDBAD)	16	204219	ADBDBAD	ADBDBAD						ADBDBAD	C	683	
RE SCS	2	SCS 2	RE SCS	1	RE String Training1, 10	35	RE String Training (10, DDBDAD)	11	206323	DDBDAD	DDBDAD						DDBDAD	C	680	
RE SCS	2	SCS 2	RE SCS	1	RE String Training1, 9	34	RE String Training (9, DBDBBD)	10	210339	DBDBBD	DBDBBD						DBDBBD	C	1220	
RE SCS	2	SCS 2	RE SCS	1	RE String Training1, 19	44	RE String Training (19, DAAADDBA)	20	216131	DAAADDBA	DAAADDBA						DAAADDBA	C	908	
RE SCS	2	SCS 2	RE SCS	1	RE String Training1, 14	39	RE String Training (14, BDBAAAD)	15	221539	BDBAAAD	BDBAAAD						BDBAAAD	C	1205	
RE SCS	2	SCS 2	RE SCS	1	RE String Training1, 16	41	RE String Training (16, DDBDBAD)	17	224459	DDBDBAD	DDBDBAD						DDBDBAD	C	779	
RE SCS	2	SCS 2	RE SCS	1	RE String Training1, 18	43	RE String Training (18, DCBBBAD)	19	228739	DCBBBAD	DCBBBAD						DCBBBAD	C	655	
RE SCS	2	SCS 2	RE SCS	1	RE String Training1, 24	49	RE String Training (24, CAABABBD)	25	232603	CAABABBD	CAABABBD						CAABABBD	C	820	
RE SCS	2	SCS 2	RE SCS	1	RE String Training1, 3	28	RE String Training (3, CBBBD)	4	236099	CBBBD	CBBBD						CBBBD	C	1424	
RE SCS	2	SCS 2	RE SCS	1	RE String Training1, 11	36	RE String Training (11, CBBAAD)	12	238971	CBBAAD	CBBAAD						CBBAAD	C	1381	
RE SCS	2	SCS 2	RE SCS	1	RE String Training1, 4	29	RE String Training (4, ADBDD)	5	240867	ADBDD	ADBDD						ADBDD	C	634	
RE SCS	2	SCS 2	RE SCS	1	RE String Training1, 12	37	RE String Training (12, CABABD)	13	244587	CABABD	CABABD						CABABD	C	727	
RE SCS	2	SCS 2	RE SCS	1	RE String Training1, 13	38	RE String Training (13, CAABBAD)	14	251043	CAABBAD	CAABBAD						CAABBAD	C	697	
