3
AGL Experiment
12/1/2016	3:19:10 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
RE SCS	3	3	RE SCS	1	RE String Training, 8	9	RE String Training (8, ADDDBA)	9	42169	ADDDBA	ADDDBA						ADDDBA	C	6535	
RE SCS	3	3	RE SCS	1	RE String Training, 15	16	RE String Training (15, ADBDBAD)	16	49449	ADBDBAD	ADBDBAD						ADBDBAD	C	1733	
RE SCS	3	3	RE SCS	1	RE String Training, 12	13	RE String Training (12, CABABD)	13	55593	CABABD	CABABD						CABABD	C	1705	
RE SCS	3	3	RE SCS	1	RE String Training, 6	7	RE String Training (6, BDABD)	7	61697	BDABD	BDABD						BDABD	C	2069	
RE SCS	3	3	RE SCS	1	RE String Training, 7	8	RE String Training (7, ABDAAD)	8	66665	ABDAAD	ABDAAD						ABDAAD	C	1271	
RE SCS	3	3	RE SCS	1	RE String Training, 13	14	RE String Training (13, CAABBAD)	14	71409	CAABBAD	CAABBAD						CAABBAD	C	1529	
RE SCS	3	3	RE SCS	1	RE String Training, 10	11	RE String Training (10, DDBDAD)	11	78809	DDBDAD	DDBDAD						DDBDAD	C	1547	
RE SCS	3	3	RE SCS	1	RE String Training, 20	21	RE String Training (20, DDDAAABA)	21	83720	DDDAAABA	DDDAAABA						DDDAAABA	C	1235	
RE SCS	3	3	RE SCS	1	RE String Training, 24	25	RE String Training (24, CAABABBD)	25	96464	CAABABBD	CAABABBD						CAABABBD	C	1791	
RE SCS	3	3	RE SCS	1	RE String Training, 3	4	RE String Training (3, CBBBD)	4	100792	CBBBD	CBBBD						CBBBD	C	1241	
RE SCS	3	3	RE SCS	1	RE String Training, 4	5	RE String Training (4, ADBDD)	5	106144	ADBDD	ADBDD						ADBDD	C	1733	
RE SCS	3	3	RE SCS	1	RE String Training, 17	18	RE String Training (17, ACAAABD)	18	110377	ACAAABD	ACAAABD						ACAAABD	C	942	
RE SCS	3	3	RE SCS	1	RE String Training, 11	12	RE String Training (11, CBBAAD)	12	115320	CBBAAD	CBBAAD						CBBAAD	C	1620	
RE SCS	3	3	RE SCS	1	RE String Training, 9	10	RE String Training (9, DBDBBD)	10	121168	DBDBBD	DBDBBD						DBDBBD	C	2207	
RE SCS	3	3	RE SCS	1	RE String Training, 14	15	RE String Training (14, BDBAAAD)	15	127248	BDBAAAD	BDBAAAD						BDBAAAD	C	1797	
RE SCS	3	3	RE SCS	1	RE String Training, 22	23	RE String Training (22, BDAAAAAD)	23	135264	BDAAAAAD	BDAAAAAD						BDAAAAAD	C	1697	
RE SCS	3	3	RE SCS	1	RE String Training, 23	24	RE String Training (23, ADDBDBAD)	24	144176	ADDBDBAD	ADDBDBAD						ADDBDBAD	C	2832	
RE SCS	3	3	RE SCS	1	RE String Training, 16	17	RE String Training (16, DDBDBAD)	17	152744	DDBDBAD	DDBDBAD						DDBDBAD	C	3341	
RE SCS	3	3	RE SCS	1	RE String Training, 18	19	RE String Training (18, DCBBBAD)	19	159232	DCBBBAD	DCBBBAD						DCBBBAD	C	2269	
RE SCS	3	3	RE SCS	1	RE String Training, 19	20	RE String Training (19, DAAADDBA)	20	165080	DAAADDBA	DAAADDBA						DAAADDBA	C	1138	
RE SCS	3	3	RE SCS	1	RE String Training, 21	22	RE String Training (21, DDBDAAAD)	22	172144	DDBDAAAD	DDBDAAAD						DDBDAAAD	C	2216	
RE SCS	3	3	RE SCS	1	RE String Training, 5	6	RE String Training (5, DADBA)	6	176184	DADBA	DADBA						DADBA	C	1277	
RE SCS	3	3	RE SCS	1	RE String Training, 2	3	RE String Training (2, CABAD)	3	181688	CABAD	CABAD						CABAD	C	1948	
RE SCS	3	3	RE SCS	1	RE String Training, 1	2	RE String Training (1, AADBA)	2	187384	AADBA	AADBA						AADBA	C	1288	
RE SCS	3	3	RE SCS	1	Middle Instruction	26	Middle Instruction	26	210637	space		 					space	C	23212	
RE SCS	3	3	RE SCS	1	Middle Instruction	26	Middle Instruction 2	27	239061	space		 					space	C	28403	
RE SCS	3	3	RE SCS	1	RE Color Test, 19	45	RE Color Test (19, testRRGRRYGB.jpg)	46	247685	3		3					1; 2; 3; 4	C	8593	
RE SCS	3	3	RE SCS	1	RE Color Test, 6	32	RE Color Test (6, testBGYRB.jpg)	33	262500	2		2					1; 2; 3; 4	C	14791	
RE SCS	3	3	RE SCS	1	RE Color Test, 2	28	RE Color Test (2, testBBRBRGB.jpg)	29	268316	4		4					1; 2; 3; 4	C	5791	
RE SCS	3	3	RE SCS	1	RE Color Test, 16	42	RE Color Test (16, testRBYYBBY.jpg)	43	274644	1		1					1; 2; 3; 4	C	6303	
RE SCS	3	3	RE SCS	1	RE Color Test, 15	41	RE Color Test (15, testRBRGB.jpg)	42	279076	3		3					1; 2; 3; 4	C	4401	
RE SCS	3	3	RE SCS	1	RE Color Test, 18	44	RE Color Test (18, testRRGGB.jpg)	45	281108	1		1					1; 2; 3; 4	C	2016	
RE SCS	3	3	RE SCS	1	RE Color Test, 10	36	RE Color Test (10, testBYGGYYB.jpg)	37	287500	2		2					1; 2; 3; 4	C	6375	
RE SCS	3	3	RE SCS	1	RE Color Test, 21	47	RE Color Test (21, testRYRBR.jpg)	48	289724	2		2					1; 2; 3; 4	C	2200	
RE SCS	3	3	RE SCS	1	RE Color Test, 5	31	RE Color Test (5, testBGRRYRB.jpg)	32	291564	3		3					1; 2; 3; 4	C	1822	
