"pid";"grammar";"s_type";"HR";"Z(HR)";"FA";"Z(FA)";"Z(HR)-Z(FA)"
1;3;1;0.416666666667;-0.52262577196;0.416666666667;-0.242535625036;-0.280090146924
2;3;1;0.583333333333;0.617648639589;0.416666666667;-0.242535625036;0.860184264626
3;3;1;0.5;0.0475114338146;0.5;0.242535625036;-0.195024191222
4;3;1;0.416666666667;-0.52262577196;0.333333333333;-0.727606875109;0.204981103149
5;3;1;0.25;-1.66290018351;0.166666666667;-1.69774937525;0.0348491917448
6;3;1;0.666666666667;1.18778584536;0.833333333333;2.18282062533;-0.995034779963
7;3;1;0.666666666667;1.18778584536;0.666666666667;1.21267812518;-0.0248922798177
8;3;1;0.333333333333;-1.09276297773;0.416666666667;-0.242535625036;-0.850227352699
9;3;1;0.5;0.0475114338146;0.5;0.242535625036;-0.195024191222
10;3;1;0.5;0.0475114338146;0.583333333333;0.727606875109;-0.680095441294
11;3;1;0.333333333333;-1.09276297773;0.25;-1.21267812518;0.119915147447
12;3;1;0.75;1.75792305114;0.416666666667;-0.242535625036;2.00045867617
1;3;2;0.416666666667;-0.359425378724;0.5;0.0556414884075;-0.415066867131
2;3;2;0.166666666667;-1.79712689362;0.5;0.0556414884075;-1.85276838203
3;3;2;0.333333333333;-0.838659217022;0.5;0.0556414884075;-0.89430070543
4;3;2;0.333333333333;-0.838659217022;0.416666666667;-0.612056372482;-0.22660284454
5;3;2;0.25;-1.31789305532;0.25;-1.94745209426;0.62955903894
6;3;2;0.666666666667;1.07827613617;0.583333333333;0.723339349297;0.354936786875
7;3;2;0.666666666667;1.07827613617;0.583333333333;0.723339349297;0.354936786875
8;3;2;0.5;0.119808459575;0.25;-1.94745209426;2.06726055384
9;3;2;0.75;1.55750997447;0.5;0.0556414884075;1.50186848606
10;3;2;0.583333333333;0.599042297873;0.583333333333;0.723339349297;-0.124297051424
11;3;2;0.583333333333;0.599042297873;0.583333333333;0.723339349297;-0.124297051424
12;3;2;0.5;0.119808459575;0.666666666667;1.39103721019;-1.27122875061
