"pid";"grammar";"s_type";"stimulus";"response";"reaction_time";"cs";"grammatical";"accuracy"
1;2;2;1;2;4762;1;1;0
1;2;2;2;2;3634;1;1;0
1;2;2;3;1;1869;1;1;0
1;2;2;4;4;8982;1;1;1
1;2;2;5;3;5963;2;1;1
1;2;2;6;3;1767;2;1;1
1;2;2;7;2;3990;2;1;0
1;2;2;8;3;2262;2;1;1
1;2;2;9;4;3231;3;1;1
1;2;2;10;2;5072;3;1;0
1;2;2;11;2;3778;3;1;0
1;2;2;12;1;1751;3;1;0
1;2;2;13;3;1752;1;0;0
1;2;2;14;3;1918;1;0;0
1;2;2;15;4;2290;1;0;0
1;2;2;16;3;2502;1;0;0
1;2;2;17;2;9799;2;0;1
1;2;2;18;3;6757;2;0;0
1;2;2;19;1;2817;2;0;1
1;2;2;20;3;1816;2;0;0
1;2;2;21;1;1743;3;0;1
1;2;2;22;2;2307;3;0;1
1;2;2;23;2;2157;3;0;1
1;2;2;24;2;2145;3;0;1
2;2;2;1;2;2128;1;1;0
2;2;2;2;1;1054;1;1;0
2;2;2;3;2;744;1;1;0
2;2;2;4;2;698;1;1;0
2;2;2;5;3;1158;2;1;1
2;2;2;6;1;788;2;1;0
2;2;2;7;4;1079;2;1;1
2;2;2;8;1;1665;2;1;0
2;2;2;9;2;606;3;1;0
2;2;2;10;2;1211;3;1;0
2;2;2;11;1;48743;3;1;0
2;2;2;12;1;552;3;1;0
2;2;2;13;1;1186;1;0;1
2;2;2;14;3;1478;1;0;0
2;2;2;15;3;649;1;0;0
2;2;2;16;2;849;1;0;1
2;2;2;17;3;1465;2;0;0
2;2;2;18;2;5908;2;0;1
2;2;2;19;1;741;2;0;1
2;2;2;20;3;2002;2;0;0
2;2;2;21;1;1558;3;0;1
2;2;2;22;1;836;3;0;1
2;2;2;23;3;2835;3;0;0
2;2;2;24;3;965;3;0;0
3;2;2;1;2;4398;1;1;0
3;2;2;2;2;7687;1;1;0
3;2;2;3;2;6315;1;1;0
3;2;2;4;1;1736;1;1;0
3;2;2;5;2;13822;2;1;0
3;2;2;6;2;5702;2;1;0
3;2;2;7;4;1581;2;1;1
3;2;2;8;4;2218;2;1;1
3;2;2;9;4;1778;3;1;1
3;2;2;10;1;2863;3;1;0
3;2;2;11;2;5653;3;1;0
3;2;2;12;4;3242;3;1;1
3;2;2;13;1;1815;1;0;1
3;2;2;14;1;1590;1;0;1
3;2;2;15;4;1166;1;0;0
3;2;2;16;2;2378;1;0;1
3;2;2;17;1;1834;2;0;1
3;2;2;18;3;9882;2;0;0
3;2;2;19;2;4049;2;0;1
3;2;2;20;1;1306;2;0;1
3;2;2;21;4;1728;3;0;0
3;2;2;22;4;1900;3;0;0
3;2;2;23;4;4014;3;0;0
3;2;2;24;3;2950;3;0;0
4;2;2;1;2;6035;1;1;0
4;2;2;2;2;1233;1;1;0
4;2;2;3;3;4887;1;1;1
4;2;2;4;2;1235;1;1;0
4;2;2;5;2;2137;2;1;0
4;2;2;6;3;3601;2;1;1
4;2;2;7;2;3000;2;1;0
4;2;2;8;2;6608;2;1;0
4;2;2;9;3;2252;3;1;1
4;2;2;10;2;931;3;1;0
4;2;2;11;3;2113;3;1;1
4;2;2;12;2;1323;3;1;0
4;2;2;13;3;2813;1;0;0
4;2;2;14;3;877;1;0;0
4;2;2;15;3;1712;1;0;0
4;2;2;16;2;7336;1;0;1
4;2;2;17;2;831;2;0;1
4;2;2;18;2;804;2;0;1
4;2;2;19;3;2091;2;0;0
4;2;2;20;3;887;2;0;0
4;2;2;21;2;1493;3;0;1
4;2;2;22;2;2760;3;0;1
4;2;2;23;2;908;3;0;1
4;2;2;24;2;1272;3;0;1
5;2;2;1;2;3631;1;1;0
5;2;2;2;2;7518;1;1;0
5;2;2;3;3;2441;1;1;1
5;2;2;4;1;10917;1;1;0
5;2;2;5;2;9780;2;1;0
5;2;2;6;2;7343;2;1;0
5;2;2;7;2;2002;2;1;0
5;2;2;8;3;1938;2;1;1
5;2;2;9;3;2513;3;1;1
5;2;2;10;2;1249;3;1;0
5;2;2;11;2;2035;3;1;0
5;2;2;12;2;3377;3;1;0
5;2;2;13;2;2335;1;0;1
