"pid";"grammar";"s_type";"stimulus";"response";"reaction_time";"cs";"grammatical";"accuracy"
1;2;1;1;2;3083;1;1;0
1;2;1;2;3;1525;1;1;1
1;2;1;3;2;3416;1;1;0
1;2;1;4;1;3451;1;1;0
1;2;1;5;4;1954;2;1;1
1;2;1;6;3;6170;2;1;1
1;2;1;7;2;7490;2;1;0
1;2;1;8;3;2464;2;1;1
1;2;1;9;2;4677;3;1;0
1;2;1;10;2;2555;3;1;0
1;2;1;11;4;1354;3;1;1
1;2;1;12;2;2117;3;1;0
1;2;1;13;1;1433;1;0;1
1;2;1;14;2;2214;1;0;1
1;2;1;15;2;2111;1;0;1
1;2;1;16;3;5435;1;0;0
1;2;1;17;2;3344;2;0;1
1;2;1;18;3;3453;2;0;0
1;2;1;19;2;11910;2;0;1
1;2;1;20;2;5122;2;0;1
1;2;1;21;3;2184;3;0;0
1;2;1;22;3;3298;3;0;0
1;2;1;23;2;5096;3;0;1
1;2;1;24;3;1436;3;0;0
2;2;1;1;4;919;1;1;1
2;2;1;2;3;1748;1;1;1
2;2;1;3;3;807;1;1;1
2;2;1;4;2;849;1;1;0
2;2;1;5;4;882;2;1;1
2;2;1;6;2;1214;2;1;0
2;2;1;7;4;1170;2;1;1
2;2;1;8;1;10055;2;1;0
2;2;1;9;4;583;3;1;1
2;2;1;10;2;403;3;1;0
2;2;1;11;1;711;3;1;0
2;2;1;12;3;1086;3;1;1
2;2;1;13;3;663;1;0;0
2;2;1;14;4;551;1;0;0
2;2;1;15;1;758;1;0;1
2;2;1;16;1;578;1;0;1
2;2;1;17;4;1298;2;0;0
2;2;1;18;2;869;2;0;1
2;2;1;19;1;771;2;0;1
2;2;1;20;4;1070;2;0;0
2;2;1;21;2;583;3;0;1
2;2;1;22;3;666;3;0;0
2;2;1;23;2;1123;3;0;1
2;2;1;24;1;1069;3;0;1
3;2;1;1;2;8606;1;1;0
3;2;1;2;4;2101;1;1;1
3;2;1;3;3;2931;1;1;1
3;2;1;4;1;3427;1;1;0
3;2;1;5;4;6121;2;1;1
3;2;1;6;4;4106;2;1;1
3;2;1;7;2;3594;2;1;0
3;2;1;8;3;5672;2;1;1
3;2;1;9;2;2901;3;1;0
3;2;1;10;1;3785;3;1;0
3;2;1;11;4;1836;3;1;1
3;2;1;12;2;2554;3;1;0
3;2;1;13;3;3412;1;0;0
3;2;1;14;1;2311;1;0;1
3;2;1;15;4;5129;1;0;0
3;2;1;16;1;7102;1;0;1
3;2;1;17;4;6325;2;0;0
3;2;1;18;4;2564;2;0;0
