"pid";"grammar";"s_type";"stimulus";"response";"reaction_time";"cs";"grammatical";"accuracy"
1;1;1;1;2;13847;1;1;0
1;1;1;2;2;4040;1;1;0
1;1;1;3;2;9478;1;1;0
1;1;1;4;1;4276;1;1;0
1;1;1;5;4;6254;2;1;1
1;1;1;6;4;3750;2;1;1
1;1;1;7;1;2826;2;1;0
1;1;1;8;1;10763;2;1;0
1;1;1;9;1;3248;3;1;0
1;1;1;10;1;2665;3;1;0
1;1;1;11;1;7854;3;1;0
1;1;1;12;2;15718;3;1;0
1;1;1;13;3;15456;1;0;0
1;1;1;14;1;5485;1;0;1
1;1;1;15;2;5622;1;0;1
1;1;1;16;2;11401;1;0;1
1;1;1;17;2;11684;2;0;1
1;1;1;18;3;6923;2;0;0
1;1;1;19;2;8989;2;0;1
1;1;1;20;1;5840;2;0;1
1;1;1;21;4;4044;3;0;0
1;1;1;22;1;4968;3;0;1
1;1;1;23;3;5698;3;0;0
1;1;1;24;4;5886;3;0;0
2;1;1;1;1;1769;1;1;0
2;1;1;2;4;1065;1;1;1
2;1;1;3;3;4825;1;1;1
2;1;1;4;4;1880;1;1;1
2;1;1;5;1;1905;2;1;0
2;1;1;6;4;2559;2;1;1
2;1;1;7;1;2276;2;1;0
2;1;1;8;4;3678;2;1;1
2;1;1;9;4;1418;3;1;1
2;1;1;10;4;2835;3;1;1
2;1;1;11;4;2375;3;1;1
2;1;1;12;4;6194;3;1;1
2;1;1;13;4;5459;1;0;0
2;1;1;14;4;4220;1;0;0
2;1;1;15;1;2249;1;0;1
2;1;1;16;1;1420;1;0;1
2;1;1;17;4;5816;2;0;0
2;1;1;18;1;1045;2;0;1
2;1;1;19;4;5127;2;0;0
2;1;1;20;4;963;2;0;0
2;1;1;21;3;8289;3;0;0
2;1;1;22;1;1430;3;0;1
2;1;1;23;3;4735;3;0;0
2;1;1;24;1;4914;3;0;1
3;1;1;1;2;1456;1;1;0
3;1;1;2;3;1429;1;1;1
3;1;1;3;3;1462;1;1;1
3;1;1;4;2;3537;1;1;0
3;1;1;5;3;2552;2;1;1
3;1;1;6;3;2429;2;1;1
3;1;1;7;2;2855;2;1;0
3;1;1;8;2;1481;2;1;0
3;1;1;9;3;1649;3;1;1
3;1;1;10;3;1296;3;1;1
3;1;1;11;3;864;3;1;1
3;1;1;12;3;1067;3;1;1
3;1;1;13;2;2901;1;0;1
3;1;1;14;2;2284;1;0;1
3;1;1;15;3;964;1;0;0
3;1;1;16;2;2197;1;0;1
3;1;1;17;2;1571;2;0;1
3;1;1;18;2;1788;2;0;1
3;1;1;19;3;3260;2;0;0
3;1;1;20;3;5441;2;0;0
3;1;1;21;2;4149;3;0;1
3;1;1;22;2;1967;3;0;1
3;1;1;23;3;3417;3;0;0
3;1;1;24;3;2443;3;0;0
4;1;1;1;2;1156;1;1;0
4;1;1;2;3;927;1;1;1
4;1;1;3;3;921;1;1;1
4;1;1;4;2;1684;1;1;0
4;1;1;5;3;1263;2;1;1
4;1;1;6;3;1531;2;1;1
4;1;1;7;3;1127;2;1;1
4;1;1;8;3;1085;2;1;1
4;1;1;9;3;1545;3;1;1
4;1;1;10;3;843;3;1;1
4;1;1;11;3;1157;3;1;1
4;1;1;12;3;1112;3;1;1
4;1;1;13;2;2212;1;0;1
4;1;1;14;3;944;1;0;0
4;1;1;15;2;4152;1;0;1
4;1;1;16;2;5186;1;0;1
4;1;1;17;3;1006;2;0;0
4;1;1;18;3;958;2;0;0
4;1;1;19;3;1322;2;0;0
4;1;1;20;3;1634;2;0;0
4;1;1;21;3;2192;3;0;0
4;1;1;22;3;1154;3;0;0
4;1;1;23;3;1666;3;0;0
4;1;1;24;3;1425;3;0;0
5;1;1;1;2;755;1;1;0
5;1;1;2;2;2009;1;1;0
5;1;1;3;2;3798;1;1;0
5;1;1;4;1;1182;1;1;0
